,User,Community_ID,User_type
239,katrinapetrenko,0,follower
240,id4617121,0,follower
241,zarinabutrym,0,follower
242,id7171915,0,follower
243,ritkabanditka19,0,follower
244,landman,1,follower
245,antonovalyubov,1,follower
246,maxlykov,2,follower
247,leonidshow,0,agent
248,daryateplo,0,follower
249,id25119,2,leader
250,id40933,3,leader
251,fedchuk,1,follower
252,kazanskaya7,2,follower
253,gigatime,1,follower
254,mariiavip,0,follower
255,andrejerastov,0,follower
256,id115857689,0,follower
257,apollonovv,0,follower
258,vera1892,1,follower
259,taisiiaorel,0,follower
260,nadiachiganz,0,follower
261,vtimo,0,follower
262,lasperanza,0,follower
263,nikitarubtsov,0,leader
264,seregka,0,follower
265,annalferova,0,follower
266,leragansta,1,agent
267,belochkinaolesya,0,follower
268,smaistrov,0,agent
269,leylaf,1,leader
270,daneliya,3,follower
271,fedor.tsarev,4,follower
272,roman.sharafutdinov,2,follower
273,groovova,2,follower
274,george,4,follower
275,kazansky,1,follower
276,darlingyulia,0,leader
277,dvikhrov,1,follower
278,id5474374,0,follower
279,alexdpi,1,agent
280,id2658310,0,leader
281,yurismirnov,3,leader
282,idinyshina,0,follower
283,tarcola,0,follower
284,ashiyanova,0,follower
285,flowersweddingspb,0,follower
286,isvetlo,3,agent
287,unclekura,4,follower
288,philippov,3,follower
289,id1218,3,follower
290,artemkorenevsky,3,follower
291,d.butikova,3,follower
292,ks.krapivina,4,follower
293,kopotilov,3,follower
294,id7189,3,follower
295,kasyanov.vitaliy,3,follower
296,novic,3,follower
297,id1091,3,follower
298,mnbvc,3,follower
299,tihiy,3,follower
300,id1675850,3,follower
301,id710,3,follower
302,strangerars,3,follower
303,annaslo,3,follower
304,id54927,3,follower
305,stopmosk,3,follower
306,z.vasilisa,3,follower
307,id26400,3,follower
308,baklanton,2,follower
309,golikova,3,leader
310,id5037,4,follower
311,skipsky,4,follower
312,id56820,3,follower
313,nuidela,3,leader
314,valent,3,follower
315,anukhinpavel,4,follower
316,id6964207,0,follower
317,makarenkos,0,follower
318,lanly,1,leader
319,armel,0,follower
320,id64739657,1,follower
321,proyavkostudio,0,follower
322,useinfo,0,follower
323,katyasidorova,0,follower
324,andreevnamake,0,follower
325,maryzaikova,0,follower
326,polusnord,0,follower
327,dvkorablev,0,follower
328,elenaaleksandrova07,0,follower
329,anastasiavarlamova,0,agent
330,id300636,1,follower
331,alexandr.mishchenko,1,follower
332,abstemius,1,follower
333,showmansmirnov,1,follower
334,tatarinov,3,follower
335,id299814,1,follower
336,romanmedvedev,0,follower
337,creativereality,1,follower
338,id163007151,1,follower
339,nikolaysamoilov,1,follower
340,sitnikova,3,follower
341,poskryakov,4,follower
342,iasonov,4,leader
343,nataliageller,2,follower
344,ivankozlov,4,leader
345,quasikva,4,leader
346,kapnov,4,follower
347,elnara,4,follower
348,vyahhi,4,follower
349,alionamarkovich,1,leader
350,andrew,4,leader
351,artemenko,4,follower
352,id2266,3,follower
353,dimabumagin,1,agent
354,id555,3,leader
355,id7373,4,follower
356,mashkarin,1,follower
357,deejay,1,follower
358,id7501,1,follower
359,tanechka.tanyusha22,1,leader
360,id31107,1,follower
361,natakrutovanata2011,1,follower
362,vasiluk,1,follower
363,aleslizkov,1,follower
364,vasilyeva.yulia,0,follower
365,alexpeace,1,follower
366,tanushka,3,agent
367,elmirakachaeva,1,follower
368,royalwed,0,follower
369,nikolalazarev,1,follower
370,id94511618,2,follower
371,muchkaev,2,leader
372,id22772,4,follower
373,amosov,4,leader
374,mikaza,4,leader
375,id7586,4,follower
376,almosyagin,4,follower
377,mloft,0,follower
378,id351803031,0,follower
379,ivanov,0,follower
380,ladie,0,follower
381,makvideo,0,follower
382,bochkov,0,follower
383,belovachristina,1,follower
384,koldunov,0,follower
385,alexrogulin,0,follower
386,kostenko,0,follower
387,suvorova2206,0,follower
388,stereoroma,1,follower
389,alexeytsarkov,0,follower
390,elistratov,4,agent
391,artemkotenko,0,follower
392,ekaterinaudachnaya,0,follower
393,robbydv,0,follower
394,estlife,1,follower
395,semanin,0,follower
396,popcornstudio,0,follower
397,susannamodels,0,follower
398,juliakorchynova,0,follower
399,studioostrov,0,follower
400,sergin,1,follower
401,annaleonastage,0,follower
402,fotoart,1,follower
403,igorneputin,0,follower
404,ekataev,0,follower
405,phantasy,0,follower
406,lnekrasova,2,follower
407,o.polyakova,2,follower
408,kosmosst,0,follower
409,akren,2,follower
410,djharisov,1,follower
411,balaeva,0,follower
412,makashenets,0,agent
413,rafkat,0,follower
414,talalay,0,leader
415,viorel,0,follower
416,a.bratukhina,1,leader
417,mensmerit,1,follower
418,vladimirtrudov,1,leader
419,philipprus,0,leader
420,esinsky,1,follower
421,daskovsky,1,follower
422,diananovak,0,follower
423,stunt78,1,follower
424,id429966299,0,follower
425,olegariodeep,1,follower
426,avikshaboyan,1,follower
427,nineoneone,1,follower
428,stigmat,2,follower
429,nastyaskvirya,2,follower
430,olyaflow,2,follower
431,estrin1,2,follower
432,linaliss,0,follower
433,spikone,2,leader
434,anti,2,follower
435,zoyaskobeltsyna,2,follower
436,sontales,1,leader
437,vividj,1,follower
438,id231673699,0,follower
439,dianati,2,follower
440,aalexeevru,4,follower
441,kapulkin,4,follower
442,danushkin,2,follower
443,id34,4,follower
444,petrova,4,follower
445,pavel.fedotov,4,follower
446,burunduk3,4,follower
447,shmakov,4,follower
448,fotoruna1,4,leader
449,georgemavchun,4,follower
450,dmitry.antipov,4,follower
451,d.b.romanova,4,follower
452,egorfilatov,4,leader
453,fedorpetrov,4,follower
454,id29580,4,leader
455,avsmal,4,follower
456,vsevolod.vlasov,4,follower
457,grich,4,follower
458,id1354,4,follower
459,tlando,4,follower
460,id7705,4,follower
461,dievsky,4,follower
462,id212,3,agent
463,vital,4,agent
464,pusev,4,follower
465,gurovalexey,0,follower
466,impispb,0,follower
467,alekseevphoto,1,leader
468,id23555,1,leader
469,id187681,1,follower
470,s.semanina,0,follower
471,natalya,4,leader
472,andrewnovoselsky,4,leader
473,darushin,4,follower
474,lenauspenskaya,4,follower
475,xristinaargentina,2,follower
476,id30380,4,leader
477,anngelok,0,agent
478,demibrow,0,leader
479,romansemizarov,4,follower
480,skrendel,4,follower
481,id10235,4,follower
482,id12594,4,follower
483,id23231,4,follower
484,id375,4,follower
485,maximilianlapin,1,follower
486,id51210,4,follower
487,chooev,2,follower
488,id1934,1,agent
489,id36442024,0,leader
490,valeriap,0,leader
